Title,Author,Year,URL
"Javaansch-Nederlandsch Handwoordenboek (Edisi Gericke & Roorda; 1901)","Gericke en Roorda","1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901-1901","https://www.sastra.org/bahasa-dan-budaya/kamus-dan-leksikon/3088-javaansch-nederlandsch-handwoordenboek-gericke-en-roorda-1901-918-bagian-03-hara-hata"
"Narpawandawa: Majalah Mingguan Persatuan (1934-1935)","Persatuan","1934-12-1935-01-1935-02-1935-03-1935-04-1935-05-1935-06-1935-07-1935-08-1935-09-1935-10-1935-11","https://www.sastra.org/koran-majalah-dan-jurnal/narpawandawa/495-narpawandawa-persatuan-1934-12-411"
